username,repo name,stars,repo URL
babel,babel,41000,https://github.com/babel/babel
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
swc-project,swc,22700,https://github.com/swc-project/swc
kriasoft,react-starter-kit,21300,https://github.com/kriasoft/react-starter-kit
avajs,ava,19900,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,19800,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,15000,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14500,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11000,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7900,https://github.com/grommet/grommet
developit,htm,7700,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6100,https://github.com/angular-fullstack/generator-angular-fullstack
ben-rogerson,twin.macro,5900,https://github.com/ben-rogerson/twin.macro
documentationjs,documentation,5600,https://github.com/documentationjs/documentation
insin,nwb,5500,https://github.com/insin/nwb
egoist,poi,5300,https://github.com/egoist/poi
thinkjs,thinkjs,5300,https://github.com/thinkjs/thinkjs
fkling,astexplorer,4700,https://github.com/fkling/astexplorer
transitive-bullshit,create-react-library,4700,https://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4600,https://github.com/babel/babel-loader
duxianwei520,react,4600,https://github.com/duxianwei520/react
jaredpalmer,backpack,4500,https://github.com/jaredpalmer/backpack
babel,minify,4300,https://github.com/babel/minify
thx,gogocode,3400,https://github.com/thx/gogocode
tleunen,babel-plugin-module-resolver,3200,https://github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,3000,https://github.com/andywer/webpack-blocks
babel,babel-eslint,3000,https://github.com/babel/babel-eslint
privatenumber,esbuild-loader,3000,https://github.com/privatenumber/esbuild-loader
kunalkapadia,express-mongoose-es6-rest-api,2800,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
Atyantik,react-pwa,2500,https://github.com/Atyantik/react-pwa
