username,repo name,stars,repo URL
ljianshu,Blog,7200,https://github.com/ljianshu/Blog
metafizzy,infinite-scroll,7100,https://github.com/metafizzy/infinite-scroll
developit,unfetch,5300,https://github.com/developit/unfetch
jquery-form,form,5100,https://github.com/jquery-form/form
olifolkerd,tabulator,4700,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,4300,https://github.com/Studio-42/elFinder
ded,reqwest,2900,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2800,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
elbywan,wretch,2400,https://github.com/elbywan/wretch
LeaVerou,bliss,2400,https://github.com/LeaVerou/bliss
wendux,ajax-hook,2100,https://github.com/wendux/ajax-hook
yisainan,web-interview,2100,https://github.com/yisainan/web-interview
ptaoussanis,sente,1600,https://github.com/ptaoussanis/sente
nette,tracy,1500,https://github.com/nette/tracy
codingforentrepreneurs,eCommerce,1300,https://github.com/codingforentrepreneurs/eCommerce
k8w,tsrpc,1200,https://github.com/k8w/tsrpc
danielm,uploader,1100,https://github.com/danielm/uploader
swlib,saber,959,https://github.com/swlib/saber
opensource-socialnetwork,opensource-socialnetwork,872,https://github.com/opensource-socialnetwork/opensource-socialnetwork
webcreate,infinite-ajax-scroll,861,https://github.com/webcreate/infinite-ajax-scroll
rapidjs,rapid.js,708,https://github.com/rapidjs/rapid.js
karosLi,KKJSBridge,589,https://github.com/karosLi/KKJSBridge
cferdinandi,atomic,540,https://github.com/cferdinandi/atomic
GoogTech,sms-ssm,523,https://github.com/GoogTech/sms-ssm
dashborg,hibiki,420,https://github.com/dashborg/hibiki
englercj,resource-loader,399,https://github.com/englercj/resource-loader
jsGanttImproved,jsgantt-improved,385,https://github.com/jsGanttImproved/jsgantt-improved
klis87,redux-requests,361,https://github.com/klis87/redux-requests
loadingio,loading-bar,358,https://github.com/loadingio/loading-bar
yceruto,django-ajax,317,https://github.com/yceruto/django-ajax
